"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a logged-in user can update their profile picture","645","User can update profile picture","","Thu Nov 20 08:31:54 UTC 2025","passed","Thu Nov 20 08:31:55 UTC 2025","","org.vorontsov.tests.UserSettingsTests","org.vorontsov.tests.UserSettingsTests","updateProfilePicture"
"Verify that a logged-in user can update their password and login with the new password","0","User can update password","","Thu Nov 20 08:31:54 UTC 2025","skipped","Thu Nov 20 08:31:54 UTC 2025","","org.vorontsov.tests.UserSettingsTests","org.vorontsov.tests.UserSettingsTests","updatePassword"
"Verify that a logged-in user can follow another author and see their articles in the feed","6972","User can follow another author","","Thu Nov 20 08:31:19 UTC 2025","passed","Thu Nov 20 08:31:26 UTC 2025","","org.vorontsov.tests.UserProfileTests","org.vorontsov.tests.UserProfileTests","followAuthor"
"Verify that a logged-in user can update their bio","909","User can update bio","","Thu Nov 20 08:31:53 UTC 2025","passed","Thu Nov 20 08:31:54 UTC 2025","","org.vorontsov.tests.UserSettingsTests","org.vorontsov.tests.UserSettingsTests","updateBio"
"Verify that a logged-in user can create a new article with valid data","1332","User can create a new article","","Thu Nov 20 08:31:28 UTC 2025","passed","Thu Nov 20 08:31:30 UTC 2025","","org.vorontsov.tests.NewArticleTests","org.vorontsov.tests.NewArticleTests","testCreateNewArticle"
"Verify that a user can edit an existing article and changes are saved correctly","2491","User can edit an existing article","","Thu Nov 20 08:31:30 UTC 2025","passed","Thu Nov 20 08:31:32 UTC 2025","","org.vorontsov.tests.NewArticleTests","org.vorontsov.tests.NewArticleTests","testEditArticle"
"","1253","displayPopularTags()","","Thu Nov 20 08:31:50 UTC 2025","passed","Thu Nov 20 08:31:51 UTC 2025","","org.vorontsov.tests.TagsTestsTests","org.vorontsov.tests.TagsTestsTests","displayPopularTags"
"","1615","filterArticlesByTag()","","Thu Nov 20 08:31:51 UTC 2025","passed","Thu Nov 20 08:31:53 UTC 2025","","org.vorontsov.tests.TagsTestsTests","org.vorontsov.tests.TagsTestsTests","filterArticlesByTag"
"Verify that a logged-in user can delete their article","1919","User can delete an article","","Thu Nov 20 08:31:46 UTC 2025","passed","Thu Nov 20 08:31:48 UTC 2025","","org.vorontsov.tests.ArticleDetailsTests","org.vorontsov.tests.ArticleDetailsTests","deleteArticle"
"Verify that a logged-in user can see their authored articles on the profile page","766","User can see their own articles","","Thu Nov 20 08:31:27 UTC 2025","passed","Thu Nov 20 08:31:27 UTC 2025","","org.vorontsov.tests.UserProfileTests","org.vorontsov.tests.UserProfileTests","displayAuthorArticles"
"Verify that registration fails when using an already registered email address","1008","User cannot register with an existing email","","Thu Nov 20 08:31:34 UTC 2025","passed","Thu Nov 20 08:31:35 UTC 2025","","org.vorontsov.tests.UserRegistrationTests","org.vorontsov.tests.UserRegistrationTests","registerWithExistingEmail"
"Verify that a logged-in user can delete their comment from an article","7986","User can delete a comment from an article","","Thu Nov 20 08:31:38 UTC 2025","passed","Thu Nov 20 08:31:46 UTC 2025","","org.vorontsov.tests.ArticleDetailsTests","org.vorontsov.tests.ArticleDetailsTests","deleteComment"
"Verify that a logged-in user can add a comment to an article","2650","User can add a comment to an article","","Thu Nov 20 08:31:35 UTC 2025","passed","Thu Nov 20 08:31:38 UTC 2025","","org.vorontsov.tests.ArticleDetailsTests","org.vorontsov.tests.ArticleDetailsTests","addComment"
"Verify that a logged-in user can like an article","1316","User can like an article","","Thu Nov 20 08:31:48 UTC 2025","passed","Thu Nov 20 08:31:49 UTC 2025","","org.vorontsov.tests.ArticleDetailsTests","org.vorontsov.tests.ArticleDetailsTests","likeArticle"
"Verify that a logged-in user can see their liked articles on the profile page","1044","User can see their liked articles","","Thu Nov 20 08:31:26 UTC 2025","passed","Thu Nov 20 08:31:27 UTC 2025","","org.vorontsov.tests.UserProfileTests","org.vorontsov.tests.UserProfileTests","displayLikedArticles"
"Verify that a new user can successfully sign up with unique credentials","1531","User can register with valid credentials","","Thu Nov 20 08:31:33 UTC 2025","passed","Thu Nov 20 08:31:34 UTC 2025","","org.vorontsov.tests.UserRegistrationTests","org.vorontsov.tests.UserRegistrationTests","registerValidNewUser"
"Verify that a logged-in user can update their username","604","User can update username","","Thu Nov 20 08:31:55 UTC 2025","passed","Thu Nov 20 08:31:56 UTC 2025","","org.vorontsov.tests.UserSettingsTests","org.vorontsov.tests.UserSettingsTests","updateUsername"
"Verify that a logged-in user can update their email","646","User can update email","","Thu Nov 20 08:31:54 UTC 2025","passed","Thu Nov 20 08:31:54 UTC 2025","","org.vorontsov.tests.UserSettingsTests","org.vorontsov.tests.UserSettingsTests","updateEmail"
