"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Profiles","0","User Settings Management","1","0","Update profile picture","0"
"0","Authentication","0","User Registration","1","0","Prevent registration with an existing email","0"
"0","User Profiles","0","User Settings Management","1","0","Update email","0"
"0","Articles","0","Article Details Management","1","0","Like an article","0"
"0","User Profiles","0","User Profile Management","1","0","Follow an author","0"
"0","User Profiles","0","User Profile Management","1","0","Display liked articles","0"
"0","Articles","0","Post Management","1","0","Edit an existing article","0"
"0","User Profiles","0","User Settings Management","1","0","Update username","0"
"0","Articles","0","Article Details Management","1","0","Add a comment to an article","0"
"0","","0","","2","0","","0"
"0","Articles","0","Post Management","1","0","Successful creation of a new article","0"
"0","User Profiles","0","User Settings Management","1","0","Update bio","0"
"0","User Profiles","0","User Profile Management","1","0","Display author's own articles","0"
"0","Authentication","0","User Registration","1","0","Successful registration with valid credentials","0"
"0","User Profiles","0","User Settings Management","0","1","Update password","0"
"0","Articles","0","Article Details Management","1","0","Delete a comment from an article","0"
"0","Articles","0","Article Details Management","1","0","Delete an article","0"
